Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
PMSF (Phenylmethylsulfonyl Fluoride),S3025,O=S(=O)(F)Cc1ccccc1,L1300-08,h5
Bindarit,S3032,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,L1300-08,c6
Vildagliptin (LAF-237),S3033,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,L1300-08,d6
Rofecoxib (Vioxx),S3043,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,L1300-08,a7
Medetomidine HCl,S3060,Cc1cccc(C(C)c2c[nH]cn2)c1C.Cl,L1300-08,a8
Diclofenac Potassium,S3062,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],L1300-08,b8
Naloxone HCl,S3066,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,L1300-08,d8
Dexmedetomidine,S3075,Cc1cccc([C@H](C)c2cnc[nH]2)c1C,L1300-08,f8
Atovaquone (Atavaquone),S3079,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,L1300-08,h8
Ulipristal,S3081,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,L1300-08,b9
2-Thiouracil,S3100,O=c1cc[nH]c(=S)[nH]1,L1300-08,d9
Moguisteine,S3104,CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC,L1300-08,e9
Nadifloxacin,S3105,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,L1300-08,f9
Pidotimod,S3106,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,L1300-08,g9
Ornidazole,S3121,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,L1300-08,d10
Dexamethasone acetate,S3124,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,L1300-08,e10
Sodium salicylate,S3137,O=C(O)c1ccccc1O.[Na],L1300-08,b11
Methylthiouracil,S3138,Cc1cc(=O)[nH]c(=S)[nH]1,L1300-08,c11
Methenamine (Mandelamine),S3139,C1N2CN3CN1CN(C2)C3,L1300-08,d11
Milnacipran HCl,S3140,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN.Cl,L1300-08,e11
Tripelennamine HCl,S3146,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,L1300-08,g11
Estradiol valerate,S3149,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,L1300-09,a1
Mepivacaine HCl,S3155,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl,L1300-09,e1
Ethynodiol diacetate,S3160,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,L1300-09,f1
Benztropine mesylate,S3163,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,L1300-09,a2
Altrenogest,S3167,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,L1300-09,b2
Anagrelide HCl,S3172,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,L1300-09,d2
Antipyrine,S3173,Cc1cc(=O)n(-c2ccccc2)n1C,L1300-09,e2
Atomoxetine HCl,S3175,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,L1300-09,f2
Betahistine 2HCl,S3176,CNCCc1ccccn1.Cl.Cl,L1300-09,g2
Flumequine,S3181,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,L1300-09,b3
Amitriptyline HCl,S3183,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,L1300-09,c3
Ropinirole HCl,S3189,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,L1300-09,g3
Azacyclonol,S3196,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,L1300-09,a4
Triflusal,S3200,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,L1300-09,c4
Catharanthine,S3202,CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,L1300-09,e4
Meptazinol HCl,S3204,CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,L1300-09,f4
Amidopyrine,S3209,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,L1300-09,h4
Moclobemide,S3212,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,L1300-09,a5
Pergolide mesylate,S4000,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,L1300-09,b5
Lithocholic acid,S4003,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,L1300-09,c5
Desloratadine,S4012,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,L1300-09,a6
Hyoscyamine (Daturine),S4014,CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,L1300-09,b6
Cyclamic  acid,S4015,O=S(=O)(O)NC1CCCCC1,L1300-09,c6
Tolcapone,S4021,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,L1300-09,h6
Probenecid (Benemid),S4022,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,L1300-09,a7
 Procaine (Novocaine) HCl,S4023,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl,L1300-09,b7
Homatropine Methylbromide,S4024,C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2.[Br-],L1300-09,c7
Homatropine Bromide,S4025,Br.CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2,L1300-09,d7
Flavoxate HCl,S4027,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O.Cl,L1300-09,f7
Diphemanil methylsulfate,S4034,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,L1300-09,h7
Doxapram HCl,S4037,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O,L1300-09,b8
norethindrone,S4040,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,L1300-09,e8
tetrahydrozoline hydrochloride,S4043,Cl.c1ccc2c(c1)CCCC2C1=NCCN1,L1300-09,h8
Pheniramine Maleate,S4045,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O,L1300-09,b9
Carbimazole,S4048,CCOC(=O)n1ccn(C)c1=S,L1300-09,e9
Bextra (valdecoxib),S4049,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,L1300-09,f9
Nabumetone,S4051,COc1ccc2cc(CCC(C)=O)ccc2c1,L1300-09,h9
Sertraline HCl,S4053,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,L1300-09,a10
Spironolactone,S4054,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,L1300-09,b10
Ropivacaine HCl,S4058,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,L1300-09,e10
Pyrithione zinc,S4075,C1=CC2=[S][Zn]3(ON2C=C1)ON1C=CC=CC1=[S]3,L1300-10,a1
Propranolol HCl,S4076,CC(C)NCC(O)COc1cccc2ccccc12.Cl,L1300-10,b1
Mequinol,S4077,COc1ccc(O)cc1,L1300-10,c1
Mefenamic acid,S4078,Cc1cccc(Nc2ccccc2C(=O)O)c1C,L1300-10,d1
sulfacetamide sodium,S4081,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1.[Na+],L1300-10,g1
Fenspiride HCl,S4090,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,L1300-10,f2
Droperidol,S4096,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,L1300-10,a3
Dydrogesterone,S4097,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,L1300-10,b3
Dexlansoprazole,S4099,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,L1300-10,c3
Isovaleramide,S4116,CC(C)CC(N)=O,L1300-10,e4
Troxipide,S4128,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,L1300-10,h4
Deoxyarbutin,S4132,Oc1ccc(OC2CCCCO2)cc1,L1300-10,a5
Clorprenaline HCL,S4135,CC(C)NCC(O)c1ccccc1Cl.Cl,L1300-10,b5
Carprofen,S4136,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,L1300-10,c5
Dropropizine,S4138,OCC(O)CN1CCN(c2ccccc2)CC1,L1300-10,d5
Amprolium HCl,S4144,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],L1300-10,e5
Chlorzoxazone,S4155,O=c1[nH]c2cc(Cl)ccc2o1,L1300-10,d6
Bezafibrate,S4159,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,L1300-10,e6
Penicillin G Sodium,S4160,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],L1300-10,f6
Benzoic acid,S4161,O=C(O)c1ccccc1,L1300-10,g6
Benzydamine Hydrochloride,S4165,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,L1300-10,b7
Chlorpropamide,S4166,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,L1300-10,c7
Teriflunomide,S4169,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,L1300-10,e7
Coumarin,S4170,O=c1ccc2ccccc2o1,L1300-10,f7
Choline Chloride,S4171,C[N+](C)(C)CCO.[Cl-],L1300-10,g7
Uracil,S4177,O=c1cc[nH]c(=O)[nH]1,L1300-10,d8
Climbazole,S4178,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,L1300-10,e8
Salicylanilide,S4187,O=C(Nc1ccccc1)c1ccccc1O,L1300-10,d9
Sasapyrine,S4188,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,L1300-10,e9
Cyclandelate,S4189,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,L1300-10,f9
Cinchophen,S4190,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,L1300-10,g9
Betamipron,S4191,O=C(O)CCNC(=O)c1ccccc1,L1300-10,h9
Chlorquinaldol,S4192,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,L1300-10,a10
Broxyquinoline,S4195,Oc1c(Br)cc(Br)c2cccnc12,L1300-10,c10
Bemegride,S4197,CCC1(C)CC(=O)NC(=O)C1,L1300-10,e10
Aminothiazole,S4198,Nc1nccs1,L1300-10,f10
Antazoline HCl,S4199,Cl.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,L1300-10,g10
Tolperisone HCl,S4200,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl,L1300-10,h10
Florfenicol,S4201,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,L1300-10,a11
Isosorbide,S4204,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,L1300-10,c11
Dibenzothiophene,S4205,c1ccc2c(c1)sc1ccccc12,L1300-10,d11
Cysteamine HCl,S4206,Cl.NCCS,L1300-10,e11
Clofibric acid,S4207,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,L1300-10,f11
Chromocarb,S4208,O=C(O)c1cc(=O)c2ccccc2o1,L1300-10,g11
Chlorocresol,S4209,Cc1cc(O)ccc1Cl,L1300-10,h11
Benzocaine,S4210,CCOC(=O)c1ccc(N)cc1,L1300-11,a1
Azaperone,S4219,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,L1300-11,g1
Benzbromarone,S4221,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,L1300-11,a2
Mexiletine HCl,S4225,Cc1cccc(C)c1OCC(C)N.Cl,L1300-11,d2
Fluorometholone Acetate,S4228,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,L1300-11,f2
Oxaprozin,S4230,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,L1300-11,h2
Pilocarpine HCl,S4231,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,L1300-11,a3
Nithiamide,S4232,CC(=O)Nc1ncc([N+](=O)[O-])s1,L1300-11,b3
Zoxazolamine,S4233,Nc1nc2cc(Cl)ccc2o1,L1300-11,c3
Bergapten,S4239,COc1c2ccoc2cc2oc(=O)ccc12,L1300-11,g3
Deoxycorticosterone acetate,S4243,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,L1300-11,b4
Rotigotine,S4274,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,L1300-11,f4
Meclofenamate Sodium,S4295,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O[Na])c1Cl,L1300-11,a5
9-Aminoacridine,S4303,Nc1c2ccccc2nc2ccccc12,L1300-11,c5
Diphenylpyraline HCl ,S4321,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,L1300-11,a6
Ethoxzolamide,S4326,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,L1300-11,c6
Mepiroxol,S4333,[O-][n+]1cccc(CO)c1,L1300-11,f6
Meticrane,S4339,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,L1300-11,b7
Nalmefene HCl,S4341,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5.Cl,L1300-11,d7
Procyclidine HCl ,S4349,Cl.OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,L1300-11,a8
Tacrine HCl,S4357,Cl.Nc1c2c(nc3ccccc13)CCCC2,L1300-11,d8
Carbachol,S4359,C[N+](C)(C)CCOC(N)=O.[Cl-],L1300-11,f8
Pridinol Methanesulfonate,S4371,CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,L1300-11,f9
Triflupromazine HCl,S4372,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,L1300-11,g9
Dicyclomine HCl,S4373,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,L1300-11,h9
Mepenzolate Bromide,S4375,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)CC1.[Br-],L1300-11,b10
Aceclidine HCl,S4376,CC(=O)OC1CN2CCC1CC2.Cl,L1300-11,c10
Imipramine HCl,S4377,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,L1300-11,d10
Nifenazone,S4401,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,L1300-11,h11
Procodazole,S4408,O=C(O)CCc1nc2ccccc2[nH]1,L1300-12,d1
Trimipramine Maleate,S4416,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,L1300-12,f1
