,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
125,Lopinavir (ABT-378),S1380,"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1 |r,c:23,25,33,36,38,45,47,t:21,43|",L1300-02,f5
126,Meropenem,S1381,CC(O)C1C2C(C)C(SC3CNC(C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O |c:19|,L1300-02,g5
127,Mianserin hydrochloride,S1382,"Cl.CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1 |c:8,11,14,16,19,21|",L1300-02,h5
128,Mosapride citrate,S1385,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CCOC1=CC(N)=C(Cl)C=C1C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1 |c:21,37,t:15,18,32,34|",L1300-02,a6
129,Nafamostat mesylate,S1386,"CS(O)(=O)=O.CS(O)(=O)=O.NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC2=C(C=C1)C=C(C=C2)C(N)=N |c:14,16,24,26,29,31,t:12,22|",L1300-02,b6
130,Omeprazole (Prilosec),S1389,"COC1=CC=C2NC(=NC2=C1)S(=O)CC1=C(C)C(OC)=C(C)C=N1 |c:7,10,16,24,t:2,4,21|",L1300-02,c6
131,Ondansetron hydrochloride (Zofran),S1390,"Cl.CN1C2=CC=CC=C2C2=C1CCC(CN1C=CN=C1C)C2=O |c:4,6,9,17,19,t:2|",L1300-02,d6
132,Oxcarbazepine,S1391,"NC(=O)N1C2=C(CC(=O)C3=C1C=CC=C3)C=CC=C2 |c:4,9,12,14,17,19|",L1300-02,e6
133,Pizotifen malate,S1394,"OC(CC(O)=O)C(O)=O.CN1CCC(CC1)=C1C2=C(CCC3=C1C=CC=C3)SC=C2 |c:17,21,24,26,30|",L1300-02,f6
134,Resveratrol,S1396,"OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1 |c:10,13,16,t:1,3,7|",L1300-02,g6
135,Rocuronium bromide,S1397,[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1 |r|,L1300-02,h6
136,Stavudine,S1398,"CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O |c:9,t:1|",L1300-02,a7
137,Tenofovir Disoproxil Fumarate,S1400,"OC(=O)\C=C\C(O)=O.CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C |r,c:24,26,29,31|",L1300-02,b7
138,Tenofovir ,S1401,"C[C@H](CN1C=NC2=C(N)N=CN=C12)OCP(O)(O)=O |r,c:4,6,9,t:11|",L1300-02,c7
139,Tigecycline,S1403,"[H][C@@]12CC3=C(C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2)C(O)=C(NC(=O)CNC(C)(C)C)C=C3N(C)C |r,c:3,42,t:8,18,31|",L1300-02,d7
140,Trilostane,S1404,"[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O |r,c:29|",L1300-02,e7
141,Vecuronium Bromide,S1405,[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1 |r|,L1300-02,f7
142,Bimatoprost,S1407,"CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1\C=C\C(O)CCC1=CC=CC=C1 |r,c:27,29,t:25|",L1300-02,g7
143,Linezolid (Zyvox),S1408,"CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1 |r,c:24,t:12,14|",L1300-02,h7
144,Alfuzosin hydrochloride (Uroxatral),S1409,"Cl.COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1 |c:2,9,11,14,t:6|",L1300-02,a8
145,Clopidogrel (Plavix),S1415,"OS(O)(=O)=O.COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=C(Cl)C=CC=C1 |r,c:12,16,20,23,25|",L1300-02,b8
146,Ranolazine dihydrochloride,S1425,"Cl.Cl.COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1 |c:4,6,22,25,27,t:2|",L1300-02,c8
147,Repaglinide,S1426,"CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O |r,c:5,19,21,30,t:3,17|",L1300-02,d8
148,Rolipram,S1430,"COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1 |c:2,11,13|",L1300-02,e8
149,Sildenafil citrate,S1431,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1 |c:19,22,30,32,t:15,28|",L1300-02,f8
150,Sumatriptan succinate,S1432,"OC(=O)CCC(O)=O.CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1 |c:26,t:13,15,18|",L1300-02,g8
151,Tianeptine sodium,S1436,"[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O |c:4,6,25,t:2,20,22|",L1300-02,h8
152,Tizanidine HCl,S1437,"Cl.ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1 |c:1,13,16,t:4,10|",L1300-02,a9
153,Topiramate,S1438,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 |r|,L1300-02,b9
154,Tranilast (SB 252218),S1439,"COC1=C(OC)C=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1 |c:2,15,17,23,t:6,13|",L1300-02,c9
155,Venlafaxine,S1441,"Cl.COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1 |c:4,6,t:2|",L1300-02,d9
156,Voriconazole,S1442,"C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F |r,c:4,6,14,16,24,t:2,19,21|",L1300-02,e9
157,Zileuton,S1443,"CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1 |c:11,13,t:7,9|",L1300-02,f9
158,Ziprasidone hydrochloride,S1444,"Cl.ClC1=CC2=C(CC(=O)N2)C=C1CCN1CCN(CC1)C1=NSC2=C1C=CC=C2 |c:10,25,28,30,t:1,3,22|",L1300-02,g9
159,Zonisamide,S1445,"NS(=O)(=O)CC1=NOC2=CC=CC=C12 |c:10,t:5,8,12|",L1300-02,h9
160,Atazanavir sulfate,S1457,"OS(O)(=O)=O.COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=NC=CC=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C |r,c:17,19,29,31,36,38,t:15,27,34|",L1300-02,a10
161,Marbofloxacin,S1464,"CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3N(C)COC1=C23)C(O)=O |c:8,15,23,t:11|",L1300-02,b10
162,Moxifloxacin hydrochloride,S1465,"Cl.[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O |r,c:13,20,28,t:16|",L1300-02,c10
163,Calcitriol (Rocaltrol),S1466,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C |r|,L1300-02,d10
164,Doxercalciferol (Hectorol),S1467,[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@@H](C)C(C)C |r|,L1300-02,e10
165,Alfacalcidol,S1468,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC\C2=C\C=C1/C[C@@H](O)C[C@H](O)C1=C |r|,L1300-02,f10
166,Iloperidone (Fanapt),S1483,"COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O |c:2,18,21,24,27,29,t:15|",L1300-02,g10
167,Naratriptan HCl,S1488,"Cl.CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1 |c:23,t:7,9,12|",L1300-02,h10
168,Ponatinib (AP24534),S1490,"CN1CCN(CC2=C(C=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2)C(F)(F)F)CC1 |c:22,24,31,34,t:6,8,13,18,20,28|",L1300-02,a11
169,Fludarabine (Fludara),S1491,"NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O |r,c:4,6,9,t:1|",L1300-02,b11
170,Pralatrexate (Folotyn),S1497,"NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1 |r,c:15,17,32,35,t:1,4,6,13|",L1300-02,c11
171,Betamethasone (Celestone),S1500,"[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:28,t:24|",L1300-02,d11
172,Mycophenolate mofetil (CellCept),S1501,"COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1 |c:2,13,t:5|",L1300-02,e11
173,Cephalexin (Cefalexin),S1502,"[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O |r,c:5,20,22,t:18|",L1300-02,f11
174,Dyphylline (Dilor),S1504,"CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O |c:10,t:2|",L1300-02,g11
175,"Aztreonam (Azactam, Cayston)",S1505,"C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O |r,c:19,t:15|",L1300-02,h11
176,Alprostadil (Caverject),S1508,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O |r|,L1300-03,a1
177,Tadalafil (Cialis),S1512,"[H][C@]12CC3=C(NC4=C3C=CC=C4)[C@H](N1C(=O)CN(C)C2=O)C1=CC=C2OCOC2=C1 |r,c:6,9,11,33,t:3,25,27|",L1300-03,b1
178,Cyclosporine (Neoral),S1514,CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C |r|,L1300-03,c1
179,Natamycin (Pimaricin),S1517,"[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(CC(O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@H]1O2)O3 |r,t:32,34,36,38,46|",L1300-03,d1
180,Telaprevir (VX-950),S1538,"[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1 |r,c:24,26,t:22|",L1300-03,e1
181,"Saxagliptin (BMS-477118,Onglyza)",S1540,[H][C@@]12C[C@]1([H])N([C@@H](C2)C#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2 |r|,L1300-03,f1
182,Febuxostat (Uloric),S1547,"CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N |c:7,9,15,t:5,12|",L1300-03,g1
183,Nebivolol (Bystolic),S1549,"Cl.[H][C@]1(CCC2=CC(F)=CC=C2O1)[C@@H](O)CNC[C@H](O)[C@@]1([H])CCC2=C(O1)C=CC(F)=C2 |r,c:7,9,25,29,32,t:4|",L1300-03,h1
184,Pimobendan (Vetmedin),S1550,"COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C |c:4,6,13,15,t:2,9,11,20|",L1300-03,a2
185,Pomalidomide,S1567,"NC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1 |c:1,18,20|",L1300-03,b2
186,Tazarotene (Avage),S1569,"CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1 |c:7,9,25,t:5,14,16|",L1300-03,c2
187,Sulfasalazine (Azulfidine),S1576,"OC(=O)C1=C(O)C=CC(=C1)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1 |c:3,6,8,15,17,26,28,t:13,24|",L1300-03,d2
188,Candesartan (Atacand),S1578,"CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=CC=C2)C(O)=O |c:5,12,14,19,21,27,30,32,t:3,10,17,24|",L1300-03,e2
189,Apixaban,S1593,"COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O |c:4,6,15,26,28,t:2,10,24|",L1300-03,f2
190,Reserpine,S1601,"[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2 |r,c:17,37,41,44,48,t:7,11|",L1300-03,g2
191,Furosemide (Lasix),S1603,"NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O |c:4,13,17,t:7,11|",L1300-03,h2
192,Olmesartan medoxomil (Benicar),S1604,"CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O |c:5,12,14,19,21,27,34,t:3,10,17,24|",L1300-03,a3
193,Cefdinir (Omnicef),S1605,"[H][C@]12SCC(C=C)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O |r,c:6,25,t:21|",L1300-03,b3
194,Clotrimazole (Canesten),S1606,"ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1 |c:3,5,10,12,17,19,24,26,t:1,15,22|",L1300-03,c3
195,Rizatriptan Benzoate ,S1607,"OC(=O)C1=CC=CC=C1.CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2 |c:5,7,17,24,26,29,t:3,14,20|",L1300-03,d3
196,Pyridostigmine Bromide (Mestinon),S1608,"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",L1300-03,e3
197,"Methimazole (Tapazole, Northyx)",S1609,CN1C=CNC1=S |c:2|,L1300-03,f3
198,Metolazone (Zaroxolyn),S1610,"CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O |c:6,8,17,19,t:3,15|",L1300-03,g3
199,Cefoperazone (Cefobid),S1611,"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O |r,c:9,13,44,t:7,39,41|",L1300-03,h3
200,Silodosin (Rapaflo),S1613,"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |r,c:15,27,29,t:3,5,25|",L1300-03,a4
201,Riluzole (Rilutek),S1614,"NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2 |c:3,14,t:1,7|",L1300-03,b4
202,Risperidone (Risperdal),S1615,"CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1 |c:1,15,18,21,32,t:12|",L1300-03,c4
203,Sulfameter (Bayrena),S1618,"COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1 |c:15,18,t:2,4,10,12|",L1300-03,d4
204,Prilocaine,S1619,"CCCNC(C)C(=O)NC1=C(C)C=CC=C1 |c:9,12,14|",L1300-03,e4
205,Darunavir Ethanolate (Prezista),S1620,"CCO.[H][C@@](O)(CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1)[C@]([H])(CC1=CC=CC=C1)NC(=O)O[C@@]1([H])CO[C@@]2([H])OCC[C@@]12[H] |r,c:19,27,29,t:14,16,25|",L1300-03,f4
206,Prednisone (Adasone),S1622,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:27,t:23|",L1300-03,g4
207,Acetylcysteine,S1623,[H][C@@](CS)(NC(C)=O)C(O)=O |r|,L1300-03,h4
208,Ethinyl Estradiol,S1625,"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H] |r,c:20,t:15,17|",L1300-03,a5
209,Naproxen (Aleve),S1626,"[Na+].COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C([O-])=O |r,c:6,8,11,t:2,4|",L1300-03,b5
210,"Nitazoxanide (Alinia, Annita)",S1627,"CC(=O)OC1=C(C=CC=C1)C(=O)NC1=NC=C(S1)[N+]([O-])=O |c:6,8,16,t:4,14|",L1300-03,c5
211,Triamcinolone Acetonide,S1628,"[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:32,t:28|",L1300-03,d5
212,"Orlistat (Alli, Xenical)",S1629,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O |r|,L1300-03,e5
213,Allopurinol (Zyloprim),S1630,"O=C1N=CN=C2NNC=C12 |c:2,t:4,8|",L1300-03,f5
214,Zafirlukast (Accolate),S1633,"COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C |c:4,6,14,29,40,42,t:2,10,17,38|",L1300-03,g5
215,Erythromycin (E-Mycin),S1635,[H][C@]1(O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]([C@H]1O)N(C)C |r|,L1300-03,h5
216,Amphotericin B ,S1636,"[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,25,27,29|",L1300-03,a6
217,Ibuprofen (Advil),S1638,"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O |c:6,8,t:4|",L1300-03,b6
218,Amprenavir (Agenerase),S1639,"CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1 |r,c:12,14,35,t:10,30,32|",L1300-03,c6
219,Albendazole (Albenza),S1640,"CCCSC1=CC=C2N=C(NC(=O)OC)NC2=C1 |c:17,t:4,6,8|",L1300-03,d6
220,Chlorothiazide,S1641,"NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1 |c:4,9,16,t:7|",L1300-03,e6
221,Ursodiol (Actigal Urso),S1643,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O |r|,L1300-03,f6
222,Nitrofurazone (Nitrofural),S1644,"NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O |c:8,t:6|",L1300-03,g6
223,Ketoprofen (Actron),S1645,"CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1 |c:7,9,16,18,t:5,14|",L1300-03,h6
224,Ketorolac (Toradol),S1646,"OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1 |c:10,17,19,t:8,15|",L1300-03,a7
225,Adenosine (Adenocard),S1647,"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O |r,c:3,5,8,t:1|",L1300-03,b7
226,Zolmitriptan (Zomig),S1649,"CN(C)CCC1=CNC2=C1C=C(C[C@H]1COC(=O)N1)C=C2 |r,c:8,21,t:5,11|",L1300-03,c7
227,"Telbivudine (Sebivo, Tyzeka)",S1651,"CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O |r,t:1|",L1300-03,d7
228,Monobenzone (Benoquin),S1652,"OC1=CC=C(OCC2=CC=CC=C2)C=C1 |c:9,11,14,t:1,3,7|",L1300-03,e7
229,Tretinoin (Aberela),S1653,CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O |c:4|,L1300-03,f7
230,"Phenylbutazone (Butazolidin, Butatron)",S1654,"CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1 |c:14,16,21,23,t:12,19|",L1300-03,g7
231,Ezetimibe (Zetia),S1655,"O[C@@H](CC[C@@H]1[C@H](N(C1=O)C1=CC=C(F)C=C1)C1=CC=C(O)C=C1)C1=CC=C(F)C=C1 |r,c:15,23,31,t:10,12,18,20,26,28|",L1300-03,h7
232,Enalaprilat dihydrate,S1657,"O.O.C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O |r,c:8,10,t:6|",L1300-03,a8
233,Dofetilide (Tikosyn),S1658,"CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1 |c:14,28,t:5,7,19,21|",L1300-03,b8
234,Isradipine (Dynacirc),S1662,"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C |c:4,9,15,t:13,17,20|",L1300-03,c8
235,Estrone,S1665,"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H] |r,c:18,t:13,15|",L1300-03,d8
236,Flucytosine (Ancobon),S1666,"NC1=NC(=O)NC=C1F |c:6,t:1|",L1300-03,e8
237,Trichlormethiazide (Achletin),S1667,"NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl |c:4,16,t:7|",L1300-03,f8
238,Loteprednol etabonate,S1669,"[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:33,t:29|",L1300-03,g8
239,Aminocaproic acid (Amicar),S1671,NCCCCCC(O)=O,L1300-03,h8
240,Aminoglutethimide (Cytadren),S1672,"CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1 |c:16,t:11,13|",L1300-03,a9
241,Aminophylline (Truphylline),S1673,"NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O |c:8,22,t:5,19|",L1300-03,b9
242,Amorolfine Hydrochloride,S1676,"Cl.CCC(C)(C)C1=CC=C(CC(C)CN2C[C@H](C)O[C@H](C)C2)C=C1 |r,c:22,t:5,7|",L1300-03,c9
243,Chloramphenicol (Chloromycetin),S1677,"OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O |r,c:13,15,t:11|",L1300-03,d9
244,Flurbiprofen (Ansaid),S1679,"C[C@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1 |r,c:8,10,15,17,t:5,13|",L1300-03,e9
245,Disulfiram (Antabuse),S1680,CCN(CC)C(=S)SSC(=S)N(CC)CC,L1300-03,f9
246,Mesalamine (Lialda),S1681,"NC1=CC=C(O)C(=C1)C(O)=O |c:6,t:1,3|",L1300-03,g9
247,Ipratropium bromide,S1683,"[Br-].CC(C)[N+]1(C)C2CCC1C[C@H](C2)OC(=O)C(CO)C1=CC=CC=C1 |r,c:22,24,t:20|",L1300-03,h9
248,Sulfanilamide,S1685,"NC1=CC=C(C=C1)S(N)(=O)=O |c:3,5,t:1|",L1300-03,a10
249,Betamethasone Dipropionate,S1688,"[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:36,t:32|",L1300-03,b10
250,Betapar (Meprednisone),S1689,"[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:28,t:24|",L1300-03,c10
251,Betamethasone valerate (Betnovate),S1690,"[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:34,t:30|",L1300-03,d10
252,Praziquantel (Biltricide),S1691,"O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1 |c:17,t:15,19|",L1300-03,e10
253,"Busulfan (Myleran, Busulfex)",S1692,CS(=O)(=O)OCCCCOS(C)(=O)=O,L1300-03,f10
254,Carbamazepine (Carbatrol),S1693,"NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2 |c:6,8,11,13,16,18,t:4|",L1300-03,g10
255,Hydrocortisone (Cortisol),S1696,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |r,t:23|",L1300-03,h10
256,Desonide,S1701,"[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO |r,c:13,t:9|",L1300-03,a11
257,Didanosine (Videx),S1702,"OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O |r,c:9,11,14|",L1300-03,b11
258,Divalproex sodium,S1703,[Na+].CCCC(CCC)C(O)=O.CCCC(CCC)C([O-])=O,L1300-03,c11
